,Listing_id,Location,Address,Price,Title,Agent,Url,Bedrooms,Bathrooms,Parking Spaces,Floor Size,Erf Size,Gross Lettable Area
3897,108603336,Avoca,unknown,1885000,4 Bedroom House,Rawson Properties Umhlanga,/for-sale/avoca/durban/kwazulu-natal/6063/108603336,4,2.5,,,740 m²,
3898,108390950,Windermere,unknown,850000,2 Bedroom Apartment,Sotheby's International Realty - Umhlanga,/for-sale/windermere/durban/kwazulu-natal/6033/108390950,2,1.5,,77 m²,,
3899,108113651,Glenwood,unknown,2495000,4 Bedroom Townhouse,Pam Golding Properties - Durban,/for-sale/glenwood/durban/kwazulu-natal/6034/108113651,4,2,2,,7 223 m²,
3900,108644437,Durban Central,unknown,240000000,Commercial Property,"Just Property, Berea",/for-sale/durban-central/durban/kwazulu-natal/5992/108644437,,,,23 105 m²,,
3901,108461057,Point Waterfront,unknown,4500000,3 Bedroom Apartment,unknown,/for-sale/point-waterfront/durban/kwazulu-natal/6024/108461057,3,2,2,247 m²,,
3902,108588399,South Beach,unknown,1250000,2 Bedroom Apartment,Chas Everitt Durban South,/for-sale/south-beach/durban/kwazulu-natal/6027/108588399,2,1,,128 m²,,
3903,108296310,Essenwood,unknown,1100000,2 Bedroom Apartment,Chas Everitt Durban South,/for-sale/essenwood/durban/kwazulu-natal/6165/108296310,2,1,1,84 m²,,
3904,108999024,South Beach,unknown,799000,1 Bedroom Apartment,RE/MAX Address - Berea,/for-sale/south-beach/durban/kwazulu-natal/6027/108999024,1,1,,39 m²,,
3905,108896389,Musgrave,unknown,810000,Commercial Property,RE/MAX Address - Berea,/for-sale/musgrave/durban/kwazulu-natal/6166/108896389,,,,55 m²,,
3906,108588399,South Beach,unknown,1250000,2 Bedroom Apartment,Chas Everitt Durban South,/for-sale/south-beach/durban/kwazulu-natal/6027/108588399,2,1,,128 m²,,
3907,108296310,Essenwood,unknown,1100000,2 Bedroom Apartment,Chas Everitt Durban South,/for-sale/essenwood/durban/kwazulu-natal/6165/108296310,2,1,1,84 m²,,
3908,108999024,South Beach,unknown,799000,1 Bedroom Apartment,RE/MAX Address - Berea,/for-sale/south-beach/durban/kwazulu-natal/6027/108999024,1,1,,39 m²,,
3909,108896389,Musgrave,unknown,810000,Commercial Property,RE/MAX Address - Berea,/for-sale/musgrave/durban/kwazulu-natal/6166/108896389,,,,55 m²,,
3910,109039970,Point Waterfront,unknown,600000,1 Bedroom Apartment,Liger Property Group,/for-sale/point-waterfront/durban/kwazulu-natal/6024/109039970,1,1,1,,,
3911,108566881,Glenwood,unknown,695000,1 Bedroom Apartment,Wakefields Estate Agents Berea,/for-sale/glenwood/durban/kwazulu-natal/6034/108566881,1,1,1,71 m²,,
3912,108920511,Durban Central,unknown,800000,2 Bedroom Apartment,Maxprop Durban - Letting & Sales,/for-sale/durban-central/durban/kwazulu-natal/5992/108920511,2,2,,,,
3913,108708561,Reservoir Hills,unknown,250000,Vacant Land,Jazmax - Westville,/for-sale/reservoir-hills/durban/kwazulu-natal/6192/108708561,,,,,1.08 m²,
3914,108344860,Greenwood Park,unknown,1395000,4 Bedroom Townhouse,Wakefields Estate Agents Durban North,/for-sale/greenwood-park/durban/kwazulu-natal/6086/108344860,4,3,,,2 282 m²,
3915,109029315,Durban Central,unknown,500000,1.5 Bedroom Apartment,Maxprop Digital,/for-sale/durban-central/durban/kwazulu-natal/5992/109029315,1.5,1,,,,
3916,108323212,Morningside,unknown,3775000,3 Bedroom Apartment,Soukop Property Group - Morningside,/for-sale/morningside/durban/kwazulu-natal/6021/108323212,3,2,2,146 m²,,
3917,108322287,North Beach,unknown,3850000,3 Bedroom Apartment,Wakefields Beach,/for-sale/north-beach/durban/kwazulu-natal/6022/108322287,3,2.5,1,135 m²,,
3918,108218911,Carrington Heights,unknown,1085000,4 Bedroom House,Wakefields Estate Agents Berea,/for-sale/carrington-heights/durban/kwazulu-natal/6005/108218911,4,2,4,,812 m²,
3919,109034793,Durban Central,unknown,390000,1 Bedroom Apartment,Be Prop,/for-sale/durban-central/durban/kwazulu-natal/5992/109034793,1,1,,,,
3920,108143408,North Beach,unknown,1100000,1 Bedroom Apartment,Sam Harwood Property,/for-sale/north-beach/durban/kwazulu-natal/6022/108143408,1,1,1,80 m²,,
3921,108595532,Manor Gardens,unknown,2999000,Commercial Property,Wakefields Estate Agents C and I,/for-sale/manor-gardens/durban/kwazulu-natal/6016/108595532,,,,1 023 m²,,
3922,108395605,Musgrave,unknown,5000000,3 Bedroom Apartment,Chas Everitt Durban South,/for-sale/musgrave/durban/kwazulu-natal/6166/108395605,3,2,1,340 m²,,
3923,108083865,Morningside,unknown,5600000,Commercial Property,Tyson Properties Morningside Office,/for-sale/morningside/durban/kwazulu-natal/6021/108083865,,,,586 m²,,
3924,108842375,Morningside,unknown,2800000,Commercial Property,Wakefields Estate Agents C and I,/for-sale/morningside/durban/kwazulu-natal/6021/108842375,,,,586 m²,,
3925,106003387,Glenmore,unknown,2200000,House,unknown,/for-sale/glenmore/durban/kwazulu-natal/10787/106003387,,,,771 m²,,
3926,109042742,Point Waterfront,unknown,600000,1 Bedroom Apartment,Liger Property Group,/for-sale/point-waterfront/durban/kwazulu-natal/6024/109042742,1,1,1,,,
3927,108073911,Corovoca,unknown,1350000,3 Bedroom Townhouse,Tyson Properties Durban North Office,/for-sale/corovoca/durban/kwazulu-natal/6129/108073911,3,2,3,120 m²,,
3928,108770227,Mount Vernon,unknown,1350000,3 Bedroom House,unknown,/for-sale/mount-vernon/durban/kwazulu-natal/6253/108770227,3,2,2,,943 m²,
3929,108552667,Westridge,unknown,1995000,3 Bedroom House,Pam Golding Properties - Durban,/for-sale/westridge/durban/kwazulu-natal/6202/108552667,3,2.5,4,,807 m²,
3930,108286654,Windermere,unknown,3000000,10 Bedroom House,Prime Property Musgrave,/for-sale/windermere/durban/kwazulu-natal/6033/108286654,10,10,4,,368 m²,
3931,108843086,Windermere,unknown,690000,2 Bedroom Apartment,RE/MAX Address - Berea,/for-sale/windermere/durban/kwazulu-natal/6033/108843086,2,1,,51 m²,,
3932,105963354,Glenwood,unknown,2650000,4 Bedroom House,Wakefields Estate Agents Berea,/for-sale/glenwood/durban/kwazulu-natal/6034/105963354,4,2,1,,829 m²,
3933,108561363,Musgrave,unknown,3350000,8 Bedroom House,Sam Harwood Property,/for-sale/musgrave/durban/kwazulu-natal/6166/108561363,8,5,2,,640 m²,
3934,108435849,Bulwer,unknown,3750000,4 Bedroom Townhouse,Pam Golding Properties - Durban,/for-sale/bulwer/durban/kwazulu-natal/5969/108435849,4,2.5,2,,5 053 m²,
3935,108729123,Windermere,unknown,1395000,3 Bedroom Townhouse,Proprop - Durban,/for-sale/windermere/durban/kwazulu-natal/6033/108729123,3,2,2,100 m²,,
3936,109325475,Carrington Heights,unknown,750000,2.5 Bedroom Apartment,Prime Property Musgrave,/for-sale/carrington-heights/durban/kwazulu-natal/6005/109325475,2.5,1,1,65 m²,,
3937,108165067,Musgrave,unknown,995000,2.5 Bedroom Apartment,Soukop Property Group - Morningside,/for-sale/musgrave/durban/kwazulu-natal/6166/108165067,2.5,2,1,80 m²,,
3938,108223357,Reservoir Hills,unknown,1950000,Vacant Land,Property.CoZa - Berea,/for-sale/reservoir-hills/durban/kwazulu-natal/6192/108223357,,,,,2 400 m²,
3939,108295763,Reservoir Hills,unknown,825000,Vacant Land,Prime Property Musgrave,/for-sale/reservoir-hills/durban/kwazulu-natal/6192/108295763,,,,,1 367 m²,
3940,108300458,Carrington Heights,unknown,750000,2.5 Bedroom Apartment,Prime Property Musgrave,/for-sale/carrington-heights/durban/kwazulu-natal/6005/108300458,2.5,1,1,65 m²,,
3941,109041632,Glenwood,unknown,2900000,3 Bedroom House,Proprop - Durban,/for-sale/glenwood/durban/kwazulu-natal/6034/109041632,3,2,7,,,
3942,108400149,Bulwer,unknown,850000,1.5 Bedroom Apartment,Prime Property Musgrave,/for-sale/bulwer/durban/kwazulu-natal/5969/108400149,1.5,1,1,71 m²,,
3943,108936516,Montclair,unknown,690000,2 Bedroom Apartment,Idwala Property Group,/for-sale/montclair/durban/kwazulu-natal/6040/108936516,2,1,1,77 m²,,
3944,108451073,Essenwood,495 Peter Mokaba Riage,1450000,2 Bedroom Townhouse,Maxprop Berea,/for-sale/essenwood/durban/kwazulu-natal/6165/108451073,2,2.5,2,,4 455 m²,
3945,108191194,Morningside,unknown,850000,1 Bedroom Townhouse,Sam Harwood Property,/for-sale/morningside/durban/kwazulu-natal/6021/108191194,1,1,1,54 m²,,
3946,108088715,Greyville,unknown,20000000,Industrial Property,Kopp Commercial,/for-sale/greyville/durban/kwazulu-natal/6012/108088715,,,,3 800 m²,,
3947,108581834,Glenwood,unknown,750000,2 Bedroom Apartment,Wakefields Estate Agents Berea,/for-sale/glenwood/durban/kwazulu-natal/6034/108581834,2,1,1,59 m²,,
3948,108979190,Musgrave,unknown,690000,1 Bedroom Apartment,Tyson Properties Morningside Office,/for-sale/musgrave/durban/kwazulu-natal/6166/108979190,1,1,1,,,
3949,108966966,Montclair,unknown,690000,3 Bedroom Apartment,Property.CoZa - Berea,/for-sale/montclair/durban/kwazulu-natal/6040/108966966,3,1,1,,,
3950,108113601,Point Waterfront,unknown,3295000,2 Bedroom Apartment,Pam Golding Properties - Durban,/for-sale/point-waterfront/durban/kwazulu-natal/6024/108113601,2,2,2,176 m²,,
3951,108706779,Essenwood,unknown,695000,1 Bedroom Apartment,RE/MAX Address - Berea,/for-sale/essenwood/durban/kwazulu-natal/6165/108706779,1,1,,44 m²,,
3952,108255653,Parlock,unknown,1050000,2 Bedroom Apartment,Liger Property Group,/for-sale/parlock/durban/kwazulu-natal/6135/108255653,2,1,1,,,
3953,108381406,Essenwood,unknown,6250000,3 Bedroom Apartment,Tyson Properties Morningside Office,/for-sale/essenwood/durban/kwazulu-natal/6165/108381406,3,3,2,633 m²,,
3954,108395385,Musgrave,unknown,3200000,3 Bedroom Apartment,Chas Everitt Durban South,/for-sale/musgrave/durban/kwazulu-natal/6166/108395385,3,2,1,200 m²,,
3955,107760252,Manor Gardens,unknown,795000,1 Bedroom Apartment,Tyson Properties Glenwood,/for-sale/manor-gardens/durban/kwazulu-natal/6016/107760252,1,1,2,70 m²,,
3956,108040168,Point Waterfront,unknown,3995000,3 Bedroom Apartment,Wakefields Beach,/for-sale/point-waterfront/durban/kwazulu-natal/6024/108040168,3,3,2,146 m²,,
3957,107725375,Windermere,unknown,2065000,3 Bedroom Apartment,Sam Harwood Property,/for-sale/windermere/durban/kwazulu-natal/6033/107725375,3,2.5,3,157 m²,,
3958,107692265,Windermere,unknown,1250000,2 Bedroom Townhouse,Prime Property Musgrave,/for-sale/windermere/durban/kwazulu-natal/6033/107692265,2,1,2,,875 m²,
3959,108579330,South Beach,unknown,795000,2.5 Bedroom Apartment,Wakefields Beach,/for-sale/south-beach/durban/kwazulu-natal/6027/108579330,2.5,1.5,,75 m²,,
3960,108421908,Musgrave,4 The Gates 335 Currie Road,4400000,4 Bedroom Apartment,Acutts Berea,/for-sale/musgrave/durban/kwazulu-natal/6166/108421908,4,4,3,,310 m²,
3961,107720639,Essenwood,unknown,2250000,3 Bedroom Apartment,Sam Harwood Property,/for-sale/essenwood/durban/kwazulu-natal/6165/107720639,3,3,2,146 m²,,
3962,108480885,Morningside,unknown,7750000,19 Bedroom House,Prime Property Musgrave,/for-sale/morningside/durban/kwazulu-natal/6021/108480885,19,12,19,,1 964 m²,
3963,107662382,Glenwood,unknown,3499000,6 Bedroom Townhouse,Harcourts Equity,/for-sale/glenwood/durban/kwazulu-natal/6034/107662382,6,3,4,357 m²,,
3964,108533683,North Beach,unknown,1295000,Apartment,Wakefields Beach,/for-sale/north-beach/durban/kwazulu-natal/6022/108533683,,1.5,,62 m²,,
3965,108474943,Morningside,unknown,3290000,4 Bedroom House,Soukop Property Group - Westville,/for-sale/morningside/durban/kwazulu-natal/6021/108474943,4,3,7,,885 m²,
3966,109218528,Morningside,unknown,3290000,4 Bedroom House,Soukop Property Group - Westville,/for-sale/morningside/durban/kwazulu-natal/6021/109218528,4,3,7,,885 m²,
3967,107774967,Essenwood,unknown,1350000,2 Bedroom Apartment,Seeff Berea,/for-sale/essenwood/durban/kwazulu-natal/6165/107774967,2,2,2,91 m²,,
3968,108546348,Morningside,unknown,5400000,6 Bedroom House,Sam Harwood Property,/for-sale/morningside/durban/kwazulu-natal/6021/108546348,6,6,10,479 m²,,
